Chan 0, Chan 1, 
0.026932,0.407388,
0.072073,0.520671,
0.034862,0.437231,
0.131245,0.484128,
0.131856,0.419569,
0.101964,0.45063,
0.111115,0.560259,
0.119045,0.393989,
0.039132,0.397035,
0.137346,0.525543,
0.088544,0.467075,
0.102574,0.506054,
0.142226,0.395207,
0.081834,0.451849,
0.180047,0.464638,
0.086714,0.453067,
0.073293,0.442104,
0.040962,0.448194,
0.123925,0.434186,
0.022052,0.427487,
0.083054,0.458548,
0.056823,0.550514,
0.009241,0.48291,
0.065973,0.465248,
0.083054,0.462811,
0.009851,0.437841,
0.086714,0.498745,
0.023882,0.44454,
0.062313,0.447585,
0.029372,0.436622,
0.039132,0.50849,
0.114165,0.422614,
0.059873,0.500572,
0.050723,0.45124,
0.042792,0.474992,
0.115995,0.467684,
-0.0237,0.339784,
-0.173765,0.244164,
-0.30248,-0.021379,
-0.691674,-0.428221,
-0.968624,-0.853943,
-1.085748,-1.073809,
-0.961303,-1.02813,
-0.904571,-0.992197,
-1.037556,-1.051883,
-1.019865,-0.999505,
-0.930192,-0.902058,
-1.029016,-1.051883,
-1.069887,-1.094516,
-1.046096,-1.095125,
-0.955813,-0.966617,
-1.101608,-1.090253,
-1.018035,-1.170038,
-0.947883,-0.994024,
-0.986924,-0.999505,
-0.938122,-0.993415,
-0.86919,-0.975143,
-1.021695,-1.086599,
-0.950323,-1.029348,
-0.953373,-1.078681,
-0.814898,-0.915457,
-0.953983,-0.987324,
-0.912502,-0.928856,
-0.956423,-0.98976,
-0.975334,-0.943473,
-0.87163,-0.952609,
-1.008885,-1.111569,
-1.019865,-1.015949,
-0.964353,-0.976361,
-0.980214,-0.925202,
-1.024136,-1.017776,
-0.949103,-1.011077,
-0.903351,-0.981234,
-0.983874,-1.0732,
-0.87956,-1.072591,
-0.941173,-1.173692,
-0.997905,-1.111569,
-0.897861,-0.975143,
-0.949103,-0.961135,
-1.041216,-1.093298,
-1.027796,-1.193181,
-0.934462,-1.034221,
-0.994855,-1.134104,
-1.107709,-1.132886,
-0.905181,-1.023258,
-1.047926,-1.099998,
-1.029626,-1.074418,
-0.963743,-1.051274,
-0.931412,-1.073809,
-1.125399,-1.142022,
-1.032676,-0.995851,
-0.932022,-1.018386,
-0.989364,-1.13654,
-1.030846,-1.159075,
-0.958863,-1.058582,
-0.908841,-1.035439,
-1.039996,-1.089035,
-1.008275,-1.0665,
-1.102218,-1.195009,
-1.1376,-1.125577,
-0.939343,-1.107915,
-1.001565,-1.154203,
-1.063177,-1.230333,
-0.937512,-1.03483,
-1.021085,-1.176128,
-0.996685,-1.196836,
-0.989364,-1.065282,
-1.013155,-1.114615,
-1.103438,-1.218761,
-1.002785,-1.171865,
-0.997905,-1.068327,
-1.117469,-1.285756,
-0.968624,-1.163947,
-1.085748,-1.117051,
-1.126009,-1.311336,
-1.068057,-1.186482,
-1.080258,-1.172474,
-1.090628,-1.207798,
-1.273024,-1.290019,
-0.994244,-1.155421,
-1.083308,-1.190136,
-1.173591,-1.242514,
-1.025356,-1.118878,
-1.210802,-1.288192,
-1.210802,-1.280275,
-1.053417,-1.176128,
-1.094288,-1.214498,
-1.168101,-1.308291,
-1.111369,-1.293674,
-1.037556,-1.198663,
-1.097338,-1.236424,
-1.189451,-1.307073,
-1.048536,-1.278448,
-1.047316,-1.137758,
-1.230933,-1.36006,
